home_club_id,away_club_id,time,division,date,day,played,result,time_most_frequent,datetime_start,datetime_end
649,574,12:30,4D,2022-09-24,4,True,2-1,12:30,2022-09-24 12:30:00+02:00,2022-09-24 13:40:00+02:00
649,493,12:30,4D,2022-10-08,6,True,4-1,12:30,2022-10-08 12:30:00+02:00,2022-10-08 13:40:00+02:00
649,999,12:30,4D,2022-10-22,8,False,,12:30,2022-10-22 12:30:00+02:00,2022-10-22 13:40:00+02:00
649,601,12:30,4D,2022-11-12,10,True,1-1,12:30,2022-11-12 12:30:00+01:00,2022-11-12 13:40:00+01:00
649,152,12:30,4D,2022-11-19,11,True,2-0,12:30,2022-11-19 12:30:00+01:00,2022-11-19 13:40:00+01:00
649,70,12:30,4D,2022-12-10,14,False,,12:30,2022-12-10 12:30:00+01:00,2022-12-10 13:40:00+01:00
649,569,12:30,4D,2023-01-14,17,False,,12:30,2023-01-14 12:30:00+01:00,2023-01-14 13:40:00+01:00
649,214,12:30,4D,2023-01-28,19,False,,12:30,2023-01-28 12:30:00+01:00,2023-01-28 13:40:00+01:00
649,644,12:30,4D,2023-02-11,21,False,,12:30,2023-02-11 12:30:00+01:00,2023-02-11 13:40:00+01:00
649,16,12:30,4D,2023-02-25,22,False,,12:30,2023-02-25 12:30:00+01:00,2023-02-25 13:40:00+01:00
649,641,12:30,4D,2023-03-18,25,False,,12:30,2023-03-18 12:30:00+01:00,2023-03-18 13:40:00+01:00
649,181,12:30,4D,2023-03-25,26,False,,12:30,2023-03-25 12:30:00+01:00,2023-03-25 13:40:00+01:00
16,214,12:30,4D,2022-09-10,2,False,,12:30,2022-09-10 12:30:00+02:00,2022-09-10 13:40:00+02:00
16,999,12:30,4D,2022-09-24,4,False,,12:30,2022-09-24 12:30:00+02:00,2022-09-24 13:40:00+02:00
16,644,12:30,4D,2022-10-08,6,True,1-2,12:30,2022-10-08 12:30:00+02:00,2022-10-08 13:40:00+02:00
16,601,12:30,4D,2022-10-22,8,True,1-2,12:30,2022-10-22 12:30:00+02:00,2022-10-22 13:40:00+02:00
16,641,12:30,4D,2022-11-12,10,True,6-0,12:30,2022-11-12 12:30:00+01:00,2022-11-12 13:40:00+01:00
16,493,12:30,4D,2022-11-19,11,True,5-1,12:30,2022-11-19 12:30:00+01:00,2022-11-19 13:40:00+01:00
16,649,12:30,4D,2022-11-26,12,True,0-1,12:30,2022-11-26 12:30:00+01:00,2022-11-26 13:40:00+01:00
16,181,12:30,4D,2022-12-10,14,False,,12:30,2022-12-10 12:30:00+01:00,2022-12-10 13:40:00+01:00
16,92,12:30,4D,2023-01-14,17,False,,12:30,2023-01-14 12:30:00+01:00,2023-01-14 13:40:00+01:00
16,70,12:30,4D,2023-01-28,19,False,,12:30,2023-01-28 12:30:00+01:00,2023-01-28 13:40:00+01:00
16,574,12:30,4D,2023-02-11,21,False,,12:30,2023-02-11 12:30:00+01:00,2023-02-11 13:40:00+01:00
16,569,12:30,4D,2023-03-18,25,False,,12:30,2023-03-18 12:30:00+01:00,2023-03-18 13:40:00+01:00
16,152,12:30,4D,2023-03-25,26,False,,12:30,2023-03-25 12:30:00+01:00,2023-03-25 13:40:00+01:00
152,181,14:00,4D,2022-09-10,2,False,,14:00,2022-09-10 14:00:00+02:00,2022-09-10 15:10:00+02:00
152,70,14:00,4D,2022-09-24,4,True,4-2,14:00,2022-09-24 14:00:00+02:00,2022-09-24 15:10:00+02:00
152,569,14:00,4D,2022-10-08,6,True,2-2,14:00,2022-10-08 14:00:00+02:00,2022-10-08 15:10:00+02:00
152,214,14:00,4D,2022-10-22,8,True,0-4,14:00,2022-10-22 14:00:00+02:00,2022-10-22 15:10:00+02:00
